RSSI,distance,snow_depth,temperature,wind,success_rate
-52,25,0,-3.0,11.11,1.0
-53,25,0,-3.0,11.11,1.0
-52,25,0,-3.0,11.11,1.0
-52,25,0,-3.0,11.11,1.0
-53,25,0,-3.0,11.11,1.0
-52,25,0,-3.0,11.11,1.0
-52,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-52,25,0,-3.0,11.11,1.0
-52,25,0,-3.0,11.11,1.0
-52,25,0,-3.0,11.11,1.0
-52,25,0,-3.0,11.11,1.0
-52,25,0,-3.0,11.11,1.0
-51,25,0,-3.0,11.11,1.0
-87,45,0,8.0,3.0,1.0
-66,45,0,8.0,3.0,1.0
-65,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-76,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-76,45,0,8.0,3.0,1.0
-74,45,0,8.0,3.0,1.0
-80,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-80,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-77,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-77,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-77,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-77,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-79,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
-78,45,0,8.0,3.0,1.0
